SampleID,Actual log1p PCN,Predicted log1p PCN,Actual_PCN,Predicted_PCN
1208,0.549818516,0.896199552,0.732938489,1.450273257
303,0.359314353,0.970475616,0.432346993,1.639199406
8233,2.02509244,1.947893535,6.576811313,6.013897479
3288,0.781872747,0.752750751,1.185561439,1.122831373
10806,4.3857697,3.498546887,79.30000635,32.06736641
5046,0.983024733,1.198932322,1.672527712,2.316573999
4605,0.923046594,0.78640322,1.516946836,1.195485529
8661,2.308635697,2.446329753,9.060689459,10.54589258
8995,2.541963245,2.689505325,11.70458872,13.72439033
9776,3.068823258,2.504661642,20.51656832,11.23941696
4075,0.86321246,0.8691958,1.37076446,1.384992071
2473,0.700573309,0.741107611,1.014907541,1.098258282
9608,2.946508988,2.205223725,18.0393709,8.072281037
10574,3.927607202,2.49662781,49.78531317,11.14148147
5214,1.005924741,0.865404983,1.734434748,1.375968118
1254,0.557782895,0.949561421,0.746795375,1.58457587
5221,1.006814291,0.963230907,1.736868247,1.620148268
856,0.487861377,0.758081235,0.628829041,1.134177305
10804,4.377836515,3.727798651,78.66549173,40.58745881
6627,1.264392978,2.059051539,2.540942654,6.838531742
668,0.45361901,0.712735954,0.573998206,1.039563785
7666,1.664039601,1.899405987,4.280599331,5.681924113
7475,1.567801157,1.43117983,3.79609074,3.183632256
8566,2.245697882,1.684117585,8.447006152,4.387694652
9676,2.992299591,2.871558833,18.93146405,16.66453281
3979,0.85442464,0.831948662,1.350021883,1.297792
10515,3.833663752,2.76501855,45.23160948,14.87933455
9752,3.048003748,3.173621415,20.07323492,22.89385744
35,0.20242966,0.85374566,0.22437396,1.348426807
6250,1.17549962,1.031645795,2.239761189,1.80567961
6959,1.358271316,1.653712848,2.889463833,4.226348486
3905,0.845247088,0.732126674,1.328553101,1.079498324
8147,1.975324651,2.872095464,6.20895967,16.67401469
5890,1.112741272,1.717814865,2.042687808,4.572338839
10169,3.410839606,2.871069239,29.29066581,16.65588647
95,0.251488951,0.974627987,0.285938692,1.650181126
3884,0.842006043,0.753054697,1.321018372,1.123476697
7964,1.843430096,1.442097775,5.318173075,3.229559181
5544,1.056120188,0.804821621,1.875194109,1.236297555
461,0.400842191,0.971209031,0.493081628,1.641135745
3458,0.797674403,1.063441601,1.220371231,1.89632184
7921,1.812210482,1.113541215,5.123969406,2.045122758
5405,1.036319234,0.827600005,1.81882247,1.287821386
3016,0.753224947,0.72504359,1.12383825,1.064821104
8265,2.048997322,1.811556384,6.760116306,5.119965039
11011,5.458966022,3.072796399,233.8544644,20.60222674
3017,0.753506454,1.171712697,1.12443621,2.227515664
214,0.321341221,0.708404605,0.378976036,1.030748826
1113,0.534228521,0.968843818,0.70613149,1.634896278
5730,1.083306031,1.186237789,1.954430863,2.274737748
